;gender;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;email;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;phone;cell;id.name;id.value;picture.large;picture.medium;picture.thumbnail;nat
0;male;Mr;Tristan;Chan;7866;Maple Ave;Alma;Manitoba;Canada;Q1L 1P5;-2.277;-14.2067;+2:00;Kaliningrad, South Africa;tristan.chan@example.com;e28ca037-4ae4-47d9-be01-1fa8acb8a754;angrybird163;ultima;rQ4pCYKS;aca55ffbeab703de25e95bcc2d945789;33402135c8227a4678409b29ff3921c26a110ef7;81bcdcb68d983bbc1e5e458ac170c135edd0f1ed7904f56485c322ca96fd3d10;2001-04-10T17:28:20.853Z;21;2014-12-25T20:22:12.417Z;7;R76 O64-3375;98851855;SIN;740094560;https://randomuser.me/api/portraits/men/50.jpg;https://randomuser.me/api/portraits/med/men/50.jpg;https://randomuser.me/api/portraits/thumb/men/50.jpg;CA
1;male;Mr;Ilyès;Leclerc;509;Rue de L'Église;Le Havre;Haut-Rhin;France;87488;53.309;21.9566;-9:00;Alaska;ilyes.leclerc@example.com;9edce92e-9901-446f-b6a6-27389c6ffc60;heavyelephant977;sancho;M3yTAy3k;bd455b3923e18f1a7fa967afcbe847de;1a3bf92eaa2b505314fb269bbc15739f6a7a23c7;e6b672e56ba6ff331ef09819e7fb7f480936020bd7d4cd260964ccf15e6a459e;1997-10-08T02:52:30.708Z;24;2006-04-08T23:54:43.861Z;16;05-00-12-99-16;0622981177;INSEE;1970940282357 91;https://randomuser.me/api/portraits/men/73.jpg;https://randomuser.me/api/portraits/med/men/73.jpg;https://randomuser.me/api/portraits/thumb/men/73.jpg;FR
2;female;Ms;Abigail;Vargas;3820;Hamilton Ave;Desoto;Illinois;United States;67928;-72.7786;150.5086;-10:00;Hawaii;abigail.vargas@example.com;68a0a172-98b0-4581-8965-d9e6b66e2c74;brownbird920;tardis;n582PzDp;aa2a1b89a3b8269e0f1048fd593ff7ab;453a713c1a82bb70b295dc9f67b549857f65627a;737e585e65823ac2eb63d6cec08536c799f67338be8501d70935672d607ce01c;1995-12-05T15:25:52.322Z;26;2016-09-21T23:41:59.777Z;5;(270) 236-4449;7096887649;SSN;590-62-7889;https://randomuser.me/api/portraits/women/0.jpg;https://randomuser.me/api/portraits/med/women/0.jpg;https://randomuser.me/api/portraits/thumb/women/0.jpg;US
3;male;Mr;Evan;Brun;4644;Rue de la Barre;Nancy;Somme;France;51596;85.5763;156.924;0:00;Western Europe Time, London, Lisbon, Casablanca;evan.brun@example.com;3be0023e-f2a3-44fc-a1cb-704d458c290e;angrydog581;woodie;zNwSXsvJ;97226548b5df7451c1771c924ae276f0;13903c4f5527ae8fe5470b621932a1c0c4c4dac3;4467bc907aa16a2cc9336f44f7157168126e896b9796e6c13369a132185d9f57;1997-09-19T20:08:26.657Z;24;2003-05-18T05:44:07.376Z;19;01-20-93-40-33;0694932833;INSEE;1970895921255 86;https://randomuser.me/api/portraits/men/14.jpg;https://randomuser.me/api/portraits/med/men/14.jpg;https://randomuser.me/api/portraits/thumb/men/14.jpg;FR
4;male;Mr;Tony;Patterson;8769;Spring Hill Rd;Roseville;Mississippi;United States;62184;54.5069;-146.2657;+4:00;Abu Dhabi, Muscat, Baku, Tbilisi;tony.patterson@example.com;6534a3ef-da67-44e3-8eeb-01c0059777eb;bigfrog358;giovanni;MOJX447y;acdef2d977941b38ccd5870f362abb74;c9a8715dea8af55730363b3c7e2e4b888a88f43b;31ee7d933ccb7f7d92257a14c26b7df984aa871267959f44b2a1c946d7a4e5c2;1974-06-06T20:02:26.782Z;48;2007-08-03T11:28:26.091Z;15;(655) 880-3716;8426039575;SSN;668-02-6426;https://randomuser.me/api/portraits/men/59.jpg;https://randomuser.me/api/portraits/med/men/59.jpg;https://randomuser.me/api/portraits/thumb/men/59.jpg;US
5;female;Ms;Beatrice;Johnson;4371;Wellington St;Richmond;British Columbia;Canada;P9B 6N4;-83.611;174.1317;+9:30;Adelaide, Darwin;beatrice.johnson@example.com;9deca7f8-e093-4bcd-aa24-177a8e76a5bc;angrybear947;wolverin;iIRIuBsC;4ac6e9b3ead2fee0da2b86f60c65d9a4;2569a16ffd23b424ccd1c3e77a155dd2a039eef8;1f9069515a34c5cb56757eb71d6f002b3e1c629208765168c5afb5bbfae23bfd;1983-08-22T19:55:38.387Z;38;2009-07-01T10:24:22.146Z;13;P16 B39-5723;12727309;SIN;272645581;https://randomuser.me/api/portraits/women/3.jpg;https://randomuser.me/api/portraits/med/women/3.jpg;https://randomuser.me/api/portraits/thumb/women/3.jpg;CA
6;male;Mr;Arnaud;Novak;8983;Vimy St;Elgin;Nova Scotia;Canada;Q3G 9G1;-36.5662;-54.1981;0:00;Western Europe Time, London, Lisbon, Casablanca;arnaud.novak@example.com;9f028e02-140f-4471-95e7-f54d55f9f313;whitesnake190;heinrich;9XkjeTYS;2f12aa55b4db5144f97d95ea4e5eb7a6;1d85ba1b16513c49cb035f667442c5b67d303c2c;6b54ef367639557fa2b1469cb6fa8a899c9db20dcc651cb90783a0e3171fdf23;1957-01-27T15:25:07.531Z;65;2013-03-20T19:33:59.264Z;9;O93 M50-8176;36285830;SIN;995692787;https://randomuser.me/api/portraits/men/23.jpg;https://randomuser.me/api/portraits/med/men/23.jpg;https://randomuser.me/api/portraits/thumb/men/23.jpg;CA
7;female;Mrs;Felinta;Rezende;2352;Rua Dezessete ;Volta Redonda;Mato Grosso;Brazil;23347;7.5603;30.0377;-12:00;Eniwetok, Kwajalein;felinta.rezende@example.com;14eaaecc-79aa-49ce-af66-154849998cd0;heavysnake183;total;LqnfPGR6;38b574861ddd1553863ad1cf63ee14d3;9aa093d61ba0c609dc4be830549452f881df7eec;322e0b14a98650404aa33ac7b7d4c9d74921cb8bce92406b8e2479bc71e62ff8;1980-11-17T09:50:27.626Z;41;2013-10-25T13:05:41.830Z;8;(42) 7364-2802;7142962144;CPF;574.072.004-99;https://randomuser.me/api/portraits/women/79.jpg;https://randomuser.me/api/portraits/med/women/79.jpg;https://randomuser.me/api/portraits/thumb/women/79.jpg;BR
8;female;Ms;Rita;Grant;7425;W Dallas St;Chesapeake;Oregon;United States;45067;-26.2773;86.7821;+5:45;Kathmandu;rita.grant@example.com;2ac74906-e8b9-499d-93b7-4a7c36ee6fb2;lazyfish933;sisters;cuY6Kyg2;37856df2e99075a1c277322572c5821a;86d318686a37e5785caf354a8103940a6fc6ff69;a1e0537c3de28d1829f8067f1b3003505cd340a40f238f96799c17a158def06d;1989-04-08T22:55:55.422Z;33;2016-08-04T14:47:05.834Z;6;(340) 405-7622;6408405877;SSN;636-65-3029;https://randomuser.me/api/portraits/women/88.jpg;https://randomuser.me/api/portraits/med/women/88.jpg;https://randomuser.me/api/portraits/thumb/women/88.jpg;US
9;female;Ms;Hélder;Barbosa;1167;Rua da Saudade;Macaé;Roraima;Brazil;72635;-29.1085;-131.7322;-8:00;Pacific Time (US & Canada);helder.barbosa@example.com;8b85747f-00fa-4509-aa15-f8b35f245b3b;tinytiger166;traveler;xSAHAGoJ;083abb6150f2cb25d42c279e52c016b6;4352789ca30ca140269dfcdf46ccb042d1e55328;6aa305f3f855ae2d8962a0c5378e6af298eb327322b5a62d9e5112ac11213dd4;1958-06-16T05:48:33.107Z;64;2019-04-24T23:09:46.354Z;3;(20) 7083-5491;9410399074;CPF;339.255.556-90;https://randomuser.me/api/portraits/women/28.jpg;https://randomuser.me/api/portraits/med/women/28.jpg;https://randomuser.me/api/portraits/thumb/women/28.jpg;BR
