;gender;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;email;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;phone;cell;id.name;id.value;picture.large;picture.medium;picture.thumbnail;nat
0;male;Mr;Davide;Moraes;7822;Rua Dom Pedro Ii ;Criciúma;Tocantins;Brazil;44141;-47.6958;-133.6168;-12:00;Eniwetok, Kwajalein;davide.moraes@example.com;490c44f6-f513-4b6e-9cbe-68a1562f6808;sadtiger471;scully;0tepTx62;bb807a9f96fdae1e316e234e739d72a3;a896d9a3753eb1aaced256dbfc6d245d1c9af6e4;08afbccaf4ec33beb2cb16991673d6106b3f9bd1f70068e6c3ff7468c4b52f9a;1975-09-22T11:57:48.457Z;46;2014-11-04T08:45:54.107Z;7;(33) 1935-0566;8509273894;CPF;429.646.579-55;https://randomuser.me/api/portraits/men/10.jpg;https://randomuser.me/api/portraits/med/men/10.jpg;https://randomuser.me/api/portraits/thumb/men/10.jpg;BR
1;female;Ms;Olímpia;Ribeiro;2354;Rua São Luiz ;Juazeiro;Amapá;Brazil;47950;26.7186;71.9247;+8:00;Beijing, Perth, Singapore, Hong Kong;olimpia.ribeiro@example.com;d90f3b6d-f673-4f96-a9bf-9839cddd3c71;bigrabbit784;honda;fDffQOlB;b01dffb37ad69bb56a09225072f2b1a5;2e41377772a24b722f2dd83b07538274846029f3;4250664966b2fd505fcaf4338cf0eec2a147ea8e92c7ead7cdbbc4a842bffed2;1946-06-05T11:22:25.415Z;76;2004-01-19T18:12:53.519Z;18;(85) 3156-8572;7197908577;CPF;431.767.788-39;https://randomuser.me/api/portraits/women/93.jpg;https://randomuser.me/api/portraits/med/women/93.jpg;https://randomuser.me/api/portraits/thumb/women/93.jpg;BR
2;female;Ms;Eve;Guillot;7070;Avenue des Ternes;Reims;Mayenne;France;89043;-14.0999;-146.0622;-3:00;Brazil, Buenos Aires, Georgetown;eve.guillot@example.com;711ba367-1cc0-41fc-9528-9d8b3b2fbf1e;greenleopard720;doors;rYVrPzvq;555c33e9d09e22f4a498abdbe996cb9d;a1b7f997dee1c4c3e78eb3689a4b34826ee2e99a;2091d959607b8583e8ea08bc6a97c07d2235a003747523da99475a16f09946a7;1944-11-10T23:06:24.833Z;77;2012-02-10T12:28:58.287Z;10;04-16-43-53-66;0608311550;INSEE;2441025715187 36;https://randomuser.me/api/portraits/women/7.jpg;https://randomuser.me/api/portraits/med/women/7.jpg;https://randomuser.me/api/portraits/thumb/women/7.jpg;FR
3;female;Mrs;Minnie;Fox;626;Timber Wolf Trail;Coppell;New York;United States;13298;5.4216;100.9679;-12:00;Eniwetok, Kwajalein;minnie.fox@example.com;b753b9bc-cd5e-4ac6-af5b-0bae4dc4a654;smallsnake119;dallas1;13SoSRqS;eb93072756ee299a222ec3707d03ceac;0f702d406c0e46921172f36c79d19ee47669c6e3;70f57357a9b6dfe39f453d91298cd54545b962f13f98dcac80ff381fffb0cba8;1955-08-14T07:43:06.796Z;67;2004-10-04T16:38:38.718Z;17;(581) 848-5464;5409476252;SSN;128-05-6647;https://randomuser.me/api/portraits/women/38.jpg;https://randomuser.me/api/portraits/med/women/38.jpg;https://randomuser.me/api/portraits/thumb/women/38.jpg;US
4;male;Mr;Gaël;Lambert;8856;Rue Bony;Metz;Hauts-de-Seine;France;18793;-34.68;-46.0296;-3:00;Brazil, Buenos Aires, Georgetown;gael.lambert@example.com;8b071a2a-6584-4aa0-9622-98149b282eb1;whitesnake515;hudson;Naf0o4GD;9c006b58cd2ed423e123b64bd219f32f;2a5b6e170224ae4fb0593c0c79c1fc200de764e2;7c495e3d6b7840db0d51f04551e66f166e3542058be34bdffb1da94cf5cbc4a7;1968-08-26T08:23:43.302Z;53;2012-03-25T12:42:44.152Z;10;05-47-00-75-91;0617807119;INSEE;1680728299321 69;https://randomuser.me/api/portraits/men/22.jpg;https://randomuser.me/api/portraits/med/men/22.jpg;https://randomuser.me/api/portraits/thumb/men/22.jpg;FR
5;female;Ms;Carla;Nogueira;8155;Rua Bela Vista ;Feira de Santana;Roraima;Brazil;83142;48.1603;74.1723;+1:00;Brussels, Copenhagen, Madrid, Paris;carla.nogueira@example.com;4801d3a0-deb3-4bb4-b4cc-03267e1c7e87;purplefrog336;0069;oYbElGhK;7a22d02a80d163256e547fc16eb636c9;3ad59410ca652972fccab5d41b7a9cd9a05cbba7;a7e590da6f1b80c0f76d06f536c9945a9cde56c6f8a21ab3e61d08079a9d9d8f;1958-12-19T15:26:04.450Z;63;2020-05-16T11:47:24.714Z;2;(43) 5826-3508;1412699238;CPF;556.763.556-57;https://randomuser.me/api/portraits/women/64.jpg;https://randomuser.me/api/portraits/med/women/64.jpg;https://randomuser.me/api/portraits/thumb/women/64.jpg;BR
6;male;Mr;Jesus;Cruz;70;Spring St;Bunbury;Tasmania;Australia;5545;22.5522;-24.2246;+1:00;Brussels, Copenhagen, Madrid, Paris;jesus.cruz@example.com;761e6ca3-83fc-4013-b35b-13d089a7cb35;browngoose509;gilligan;X6qz9tRy;625c87e048562294a33d02a9b73eddf5;dd308c2f1caeb0ff5a5a26b8c751b18e6cb9ae58;1e58d26db5046575407549752d07831992553ec02fe7268404f40287127d5649;1975-04-12T22:08:28.968Z;47;2018-08-27T01:16:14.177Z;3;05-5576-6330;0475719161;TFN;018235117;https://randomuser.me/api/portraits/men/37.jpg;https://randomuser.me/api/portraits/med/men/37.jpg;https://randomuser.me/api/portraits/thumb/men/37.jpg;AU
7;female;Mrs;Holly;Crawford;1732;Spring Hill Rd;Burkburnett;South Dakota;United States;43859;-3.92;-54.4526;-3:00;Brazil, Buenos Aires, Georgetown;holly.crawford@example.com;e6771a01-f3e8-477e-9767-3e7c00b9f13b;bigtiger252;chelle;jr3c1Sqh;0d2a3b6dffa3bc3e90679c9a1d533a66;e9d0d622a0f6d4e026da1208f8e7c801de762e65;81095481bd7fe6a4d962dabb7cc9a1ec7232a2a8f9d9ace9701ff48f61636c61;1954-09-23T01:03:51.131Z;67;2018-03-01T11:10:58.496Z;4;(581) 345-4002;7638699939;SSN;257-66-8042;https://randomuser.me/api/portraits/women/57.jpg;https://randomuser.me/api/portraits/med/women/57.jpg;https://randomuser.me/api/portraits/thumb/women/57.jpg;US
8;male;Mr;Dennis;Mckinney;7518;Plum St;Ontario;Maine;United States;65722;56.188;-157.5906;-10:00;Hawaii;dennis.mckinney@example.com;b13f4d3f-f642-43b2-ad7d-14dd3d073819;bigladybug951;kermit;0qmxdhJP;e945e74572df5e0b4e51e4a64eb1f7dc;1f0887dca2bdf48e34a328a3870f6d96537c516d;84b2e2ec26ae8b2ddb64952555db13f4d03713d827ee69e5b3e1045621922191;1984-08-23T18:29:22.931Z;37;2019-08-14T13:53:20.196Z;3;(623) 441-5242;9106657323;SSN;474-77-9287;https://randomuser.me/api/portraits/men/75.jpg;https://randomuser.me/api/portraits/med/men/75.jpg;https://randomuser.me/api/portraits/thumb/men/75.jpg;US
9;male;Mr;Edgar;Hicks;8500;Samaritan Dr;Busselton;Queensland;Australia;5731;-89.7178;45.3746;-5:00;Eastern Time (US & Canada), Bogota, Lima;edgar.hicks@example.com;444ea759-e4a5-481d-a723-9ff36e889ca5;angryrabbit236;computer;pVgJHTIP;b15aa460b7cca52faf3bf80edf2552f8;0e3979bc41bb799630bbdb8904c4b361cbd1ee97;4ff2d5b178a720d45fa056265f534b61cab99149ab69321580f24822ed79f631;1952-03-23T23:40:18.136Z;70;2009-01-11T10:49:49.222Z;13;06-0398-9638;0497707849;TFN;809078538;https://randomuser.me/api/portraits/men/34.jpg;https://randomuser.me/api/portraits/med/men/34.jpg;https://randomuser.me/api/portraits/thumb/men/34.jpg;AU
